,source,mutation_method,temperature,population_size,num_iterations,best_state,best_score
888,2,swap,1,20,200,"[3, 0, 4, 2, 6, 8, 9, 7, 1, 5]",0.0078125
889,2,swap,1,20,500,"[3, 0, 4, 2, 6, 8, 9, 7, 1, 5]",0.0078125
890,2,swap,1,50,10,"[3, 0, 1, 9, 6, 8, 7, 4, 2, 5]",0.0078125
891,2,swap,1,50,50,"[3, 0, 1, 9, 6, 8, 7, 4, 2, 5]",0.0078125
892,2,swap,1,50,100,"[3, 0, 1, 9, 6, 8, 7, 4, 2, 5]",0.0078125
893,2,swap,1,50,200,"[3, 0, 1, 9, 6, 8, 7, 4, 2, 5]",0.0078125
894,2,swap,1,50,500,"[3, 0, 1, 9, 6, 8, 7, 4, 2, 5]",0.0078125
895,2,swap,1,100,10,"[3, 0, 1, 9, 6, 8, 7, 4, 2, 5]",0.0078125
896,2,swap,1,100,50,"[3, 0, 1, 9, 6, 8, 7, 4, 2, 5]",0.0078125
897,2,swap,1,100,100,"[3, 0, 1, 9, 6, 8, 7, 4, 2, 5]",0.0078125
898,2,swap,1,100,200,"[3, 0, 1, 9, 6, 8, 7, 4, 2, 5]",0.0078125
899,2,swap,1,100,500,"[3, 0, 1, 9, 6, 8, 7, 4, 2, 5]",0.0078125
900,2,swap,2,5,10,"[3, 2, 0, 6, 8, 4, 9, 7, 1, 5]",0.00390625
901,2,swap,2,5,50,"[3, 2, 9, 6, 4, 7, 8, 0, 1, 5]",0.0078125
902,2,swap,2,5,100,"[3, 2, 9, 6, 4, 7, 8, 0, 1, 5]",0.0078125
903,2,swap,2,5,200,"[3, 2, 9, 6, 4, 7, 8, 0, 1, 5]",0.0078125
904,2,swap,2,5,500,"[3, 2, 9, 6, 4, 7, 8, 0, 1, 5]",0.0078125
905,2,swap,2,10,10,"[3, 2, 0, 6, 8, 4, 9, 7, 1, 5]",0.00390625
906,2,swap,2,10,50,"[3, 2, 0, 6, 8, 4, 9, 7, 1, 5]",0.00390625
907,2,swap,2,10,100,"[3, 2, 0, 6, 8, 4, 9, 7, 1, 5]",0.00390625
908,2,swap,2,10,200,"[3, 2, 9, 6, 4, 7, 8, 0, 1, 5]",0.0078125
909,2,swap,2,10,500,"[3, 2, 9, 6, 4, 7, 8, 0, 1, 5]",0.0078125
910,2,swap,2,20,10,"[3, 2, 0, 6, 8, 4, 9, 7, 1, 5]",0.00390625
911,2,swap,2,20,50,"[3, 0, 4, 2, 6, 8, 9, 7, 1, 5]",0.0078125
912,2,swap,2,20,100,"[3, 0, 4, 2, 6, 8, 9, 7, 1, 5]",0.0078125
913,2,swap,2,20,200,"[3, 0, 4, 2, 6, 8, 9, 7, 1, 5]",0.0078125
914,2,swap,2,20,500,"[3, 0, 4, 2, 6, 8, 9, 7, 1, 5]",0.0078125
915,2,swap,2,50,10,"[3, 0, 1, 9, 6, 8, 7, 4, 2, 5]",0.0078125
916,2,swap,2,50,50,"[3, 0, 1, 9, 6, 8, 7, 4, 2, 5]",0.0078125
917,2,swap,2,50,100,"[3, 0, 1, 9, 6, 8, 7, 4, 2, 5]",0.0078125
918,2,swap,2,50,200,"[3, 0, 1, 9, 6, 8, 7, 4, 2, 5]",0.0078125
919,2,swap,2,50,500,"[3, 0, 1, 9, 6, 8, 7, 4, 2, 5]",0.0078125
920,2,swap,2,100,10,"[3, 0, 1, 9, 6, 8, 7, 4, 2, 5]",0.0078125
921,2,swap,2,100,50,"[3, 0, 1, 9, 6, 8, 7, 4, 2, 5]",0.0078125
922,2,swap,2,100,100,"[3, 0, 1, 9, 6, 8, 7, 4, 2, 5]",0.0078125
