,source,mutation_method,num_iterations,population_size,selection_type,best_state,best_score
144,1,swap,200,100,roulette,"[1, 0, 2, 4]",104.3284
145,1,swap,500,5,roulette,"[1, 0, 2, 4]",104.3284
146,1,swap,500,10,roulette,"[1, 0, 2, 3, 4]",104.1531744
147,1,swap,500,20,roulette,"[1, 0, 2, 4]",104.3284
148,1,swap,500,50,roulette,"[1, 0, 2, 4]",104.3284
149,1,swap,500,100,roulette,"[1, 0, 2, 4]",104.3284
150,1,add,10,5,roulette,"[1, 0, 2, 4]",104.3284
151,1,add,10,10,roulette,"[1, 0, 2, 4]",104.3284
152,1,add,10,20,roulette,"[1, 0, 2, 4]",104.3284
153,1,add,10,50,roulette,"[1, 0, 2, 4]",104.3284
154,1,add,10,100,roulette,"[1, 0, 2, 4]",104.3284
155,1,add,50,5,roulette,"[1, 0, 2, 4]",104.3284
156,1,add,50,10,roulette,"[1, 0, 2, 4]",104.3284
157,1,add,50,20,roulette,"[1, 0, 2, 4]",104.3284
158,1,add,50,50,roulette,"[1, 0, 2, 4]",104.3284
159,1,add,50,100,roulette,"[1, 0, 2, 4]",104.3284
160,1,add,100,5,roulette,"[1, 0, 2, 4]",104.3284
161,1,add,100,10,roulette,"[1, 0, 2, 4]",104.3284
162,1,add,100,20,roulette,"[1, 0, 2, 4]",104.3284
163,1,add,100,50,roulette,"[1, 0, 2, 4]",104.3284
164,1,add,100,100,roulette,"[1, 0, 2, 4]",104.3284
165,1,add,200,5,roulette,"[1, 0, 2, 4]",104.3284
166,1,add,200,10,roulette,"[1, 0, 2, 4]",104.3284
167,1,add,200,20,roulette,"[1, 0, 2, 4]",104.3284
168,1,add,200,50,roulette,"[1, 0, 2, 4]",104.3284
169,1,add,200,100,roulette,"[1, 0, 2, 4]",104.3284
170,1,add,500,5,roulette,"[1, 0, 2, 4]",104.3284
171,1,add,500,10,roulette,"[1, 0, 2, 4]",104.3284
172,1,add,500,20,roulette,"[1, 0, 2, 4]",104.3284
173,1,add,500,50,roulette,"[1, 0, 2, 4]",104.3284
174,1,add,500,100,roulette,"[1, 0, 2, 4]",104.3284
175,1,all,10,5,roulette,"[1, 0, 2, 3, 4]",104.1531744
176,1,all,10,10,roulette,"[1, 0, 2, 4]",104.3284
177,1,all,10,20,roulette,"[1, 0, 2, 4]",104.3284
178,1,all,10,50,roulette,"[1, 0, 2, 4]",104.3284
179,1,all,10,100,roulette,"[1, 0, 2, 4]",104.3284
180,1,all,50,5,roulette,"[1, 0, 2, 4]",104.3284
181,1,all,50,10,roulette,"[1, 0, 2, 4]",104.3284
182,1,all,50,20,roulette,"[1, 0, 2, 4]",104.3284
183,1,all,50,50,roulette,"[1, 0, 2, 4]",104.3284
184,1,all,50,100,roulette,"[1, 0, 2, 4]",104.3284
185,1,all,100,5,roulette,"[1, 0, 2, 4]",104.3284
186,1,all,100,10,roulette,"[1, 0, 2, 4]",104.3284
187,1,all,100,20,roulette,"[1, 0, 2, 4]",104.3284
188,1,all,100,50,roulette,"[1, 0, 2, 4]",104.3284
189,1,all,100,100,roulette,"[1, 0, 2, 4]",104.3284
190,1,all,200,5,roulette,"[1, 0, 2, 4]",104.3284
191,1,all,200,10,roulette,"[1, 0, 2, 4]",104.3284
192,1,all,200,20,roulette,"[1, 0, 2, 4]",104.3284
193,1,all,200,50,roulette,"[1, 0, 2, 4]",104.3284
194,1,all,200,100,roulette,"[1, 0, 2, 4]",104.3284
